Entity,Code,Year,footprint
Afghanistan,AFG,2019,0.3080452
Africa,,2019,0.25964358
Albania,ALB,2019,0.15243149
Algeria,DZA,2019,0.25832316
Angola,AGO,2019,0.19989423
Antigua and Barbuda,ATG,2019,0.16348873
Argentina,ARG,2019,0.19178149
Armenia,ARM,2019,0.13673662
Aruba,ABW,2019,0.1676843
Asia,,2019,0.24700491
Asia (excl. China and India),,2019,0.21427639
Australia,AUS,2019,0.24799247
Austria,AUT,2019,0.15864837
Azerbaijan,AZE,2019,0.20889403
Bahamas,BHS,2019,0.1581193
Bahrain,BHR,2019,0.15869032
Bangladesh,BGD,2019,0.20251969
Barbados,BRB,2019,0.16713999
Belarus,BLR,2015,0.2201957
Belarus,BLR,2019,0.2008879
Belgium,BEL,2019,0.1327016
Belize,BLZ,2019,0.1959133
Benin,BEN,2019,0.2438167
Bermuda,BMU,2019,0.18022694
Bhutan,BTN,2019,0.06463649
Bolivia,BOL,2019,0.25420773
Bosnia and Herzegovina,BIH,2019,0.2992277
Botswana,BWA,2019,0.29462457
Brazil,BRA,2019,0.13622616
British Virgin Islands,VGB,2019,0.23895317
Brunei,BRN,2019,0.19898532
Bulgaria,BGR,2019,0.20109735
Burkina Faso,BFA,2002,0.20193966
Burkina Faso,BFA,2019,0.27530307
Burundi,BDI,2019,0.19532634
Cambodia,KHM,2019,0.27371794
Cameroon,CMR,2019,0.2024874
Canada,CAN,2019,0.14387648
Cape Verde,CPV,2019,0.14308374
Central African Republic,CAF,2019,0.14576222
Chad,TCD,2019,0.2610757
Chile,CHL,2019,0.19081038
China,CHN,2019,0.26866937
Colombia,COL,2019,0.1799277
Comoros,COM,2019,0.23356828
Congo,COG,2019,0.28817156
Cook Islands,COK,2019,0.172006
Costa Rica,CRI,2019,0.121254936
Cote d'Ivoire,CIV,2019,0.1699412
Croatia,HRV,2019,0.18637772
Cuba,CUB,2019,0.20976193
Cyprus,CYP,2019,0.22598907
Czechia,CZE,2019,0.21138372
Democratic Republic of Congo,COD,2019,0.0746657
Denmark,DNK,2019,0.15826447
Djibouti,DJI,2019,0.15520263
Dominica,DMA,2019,0.21349199
Dominican Republic,DOM,2019,0.2309328
Ecuador,ECU,2019,0.19054979
Egypt,EGY,2019,0.24448109
El Salvador,SLV,2019,0.16268983
Equatorial Guinea,GNQ,2019,0.20263048
Eritrea,ERI,2019,0.25882792
Estonia,EST,2019,0.19789793
Eswatini,SWZ,2019,0.1719725
Ethiopia,ETH,2019,0.17301093
Europe,,1999,0.20194687
Europe,,2019,0.17918096
Europe (excl. EU-27),,2019,0.19200261
Europe (excl. EU-28),,2019,0.1970153
European Union (27),,2019,0.16937341
European Union (28),,2019,0.16909486
Faeroe Islands,FRO,2019,0.18964171
Fiji,FJI,2019,0.15839057
Finland,FIN,2019,0.12946413
France,FRA,2019,0.11580208
French Guiana,GUF,2019,0.14978994
French Polynesia,PYF,2019,0.18559407
Gabon,GAB,2019,0.33634603
Gambia,GMB,2019,0.24623777
Georgia,GEO,2019,0.14731283
Germany,DEU,2017,0.2019391
Germany,DEU,2019,0.19136977
Ghana,GHA,2019,0.18667863
Greece,GRC,2019,0.211402
Greenland,GRL,2019,0.15720409
Grenada,GRD,2019,0.2524934
Guadeloupe,GLP,2019,0.2946307
Guatemala,GTM,2019,0.19758074
Guinea,GIN,2019,0.28650472
Guinea-Bissau,GNB,2019,0.2327216
Guyana,GUY,2019,0.24482752
Haiti,HTI,2019,0.23293196
High-income countries,,2019,0.18430369
Honduras,HND,2019,0.19860353
Hong Kong,HKG,2019,0.121545866
Hungary,HUN,2019,0.1790416
Iceland,ISL,2019,0.05599823
India,IND,2019,0.2768882
Indonesia,IDN,2019,0.27143452
Iran,IRN,2019,0.21546957
Iraq,IRQ,2019,0.30278727
Ireland,IRL,2019,0.19991487
Israel,ISR,2019,0.19415578
Italy,ITA,2019,0.18626718
Jamaica,JAM,2019,0.18221505
Japan,JPN,2019,0.2151387
Jordan,JOR,2019,0.22695594
Kazakhstan,KAZ,2019,0.35285553
Kenya,KEN,2019,0.19725934
Kiribati,KIR,2019,0.2047477
Kosovo,OWID_KOS,2019,0.3149305
Kuwait,KWT,2019,0.21764152
Kyrgyzstan,KGZ,2019,0.13698399
Laos,LAO,2019,0.127432
Latvia,LVA,2019,0.17069876
Lebanon,LBN,2019,0.24663179
Lesotho,LSO,2019,0.49028313
Liberia,LBR,2019,0.2015998
Libya,LBY,2019,0.39501873
Lithuania,LTU,2019,0.19842249
Low-income countries,,2015,0.20198482
Low-income countries,,2019,0.24099715
Lower-middle-income countries,,2019,0.25358346
Luxembourg,LUX,2019,0.20622511
Macao,MAC,2019,0.07937188
Madagascar,MDG,2019,0.23561484
Malawi,MWI,2019,0.16130428
Malaysia,MYS,2019,0.21679297
Maldives,MDV,2019,0.21025646
Mali,MLI,2019,0.15206812
Malta,MLT,2019,0.040845845
Martinique,MTQ,2019,0.2512549
Mauritania,MRT,2019,0.20971206
Mauritius,MUS,2019,0.15298033
Mexico,MEX,2019,0.22422197
Micronesia (country),FSM,2019,0.20330384
Moldova,MDA,2019,0.13090622
Mongolia,MNG,2019,0.6020144
Montenegro,MNE,2019,0.17413232
Montserrat,MSR,2019,0.160909
Morocco,MAR,2019,0.26039878
Mozambique,MOZ,2019,0.09899312
Myanmar,MMR,2019,0.20460589
Namibia,NAM,2019,0.18842693
Nauru,NRU,2019,0.20573366
Nepal,NPL,2019,0.30685112
Netherlands,NLD,2019,0.15527734
New Caledonia,NCL,1992,0.20191368
New Caledonia,NCL,2019,0.23029855
New Zealand,NZL,2019,0.14069411
Nicaragua,NIC,2019,0.18240388
Niger,NER,2019,0.23469628
Nigeria,NGA,2019,0.2553051
Niue,NIU,2019,0.34094864
North America,,2019,0.19237
North America (excl. USA),,2019,0.17193836
North Korea,PRK,2019,0.5562653
North Macedonia,MKD,2019,0.25743723
Norway,NOR,2019,0.08306577
Oceania,,2019,0.23356779
Oman,OMN,2019,0.19064504
Pakistan,PAK,2019,0.20951115
Palestine,PSE,2019,0.16423719
Panama,PAN,2019,0.1089782
Papua New Guinea,PNG,2019,0.27072805
Paraguay,PRY,2019,0.06361199
Peru,PER,2019,0.16884471
Philippines,PHL,2019,0.2580993
Poland,POL,2019,0.26882312
Portugal,PRT,2019,0.16250119
Qatar,QAT,2019,0.17286143
Reunion,REU,2019,0.32020682
Romania,ROU,2019,0.19886987
Russia,RUS,2019,0.20292392
Russia,RUS,2021,0.20193508
Rwanda,RWA,2019,0.28727457
Saint Helena,SHN,2019,0.27258968
Saint Kitts and Nevis,KNA,2019,0.22706673
Saint Lucia,LCA,2019,0.1895644
Saint Pierre and Miquelon,SPM,2019,0.17667215
Saint Vincent and the Grenadines,VCT,2019,0.25192314
Samoa,WSM,2019,0.17284495
Sao Tome and Principe,STP,2019,0.17979215
Saudi Arabia,SAU,2019,0.21901561
Senegal,SEN,2019,0.2896566
Serbia,SRB,2019,0.2218666
Seychelles,SYC,2019,0.12713291
Sierra Leone,SLE,2019,0.28846872
Singapore,SGP,2019,0.030480905
Slovakia,SVK,2019,0.18272321
Slovenia,SVN,2019,0.17540093
Solomon Islands,SLB,2019,0.21470372
Somalia,SOM,2019,0.17529619
South Africa,ZAF,2019,0.31342676
South America,,2019,0.15579131
South Korea,KOR,2019,0.18591054
South Sudan,SSD,2019,0.212022
Spain,ESP,2019,0.15824282
Sri Lanka,LKA,2019,0.20542493
Sudan,SDN,2003,0.2019689
Sudan,SDN,2019,0.21729259
Suriname,SUR,2019,0.19119756
Sweden,SWE,2019,0.063093334
Switzerland,CHE,2019,0.10939303
Syria,SYR,2019,0.219773
Taiwan,TWN,2019,0.203437
Tajikistan,TJK,2019,0.1302
Tanzania,TZA,2006,0.19820192
Tanzania,TZA,2019,0.23000768
Thailand,THA,2019,0.19045189
Timor,TLS,2019,0.3149808
Togo,TGO,2019,0.2263339
Tonga,TON,2019,0.23046696
Trinidad and Tobago,TTO,2019,0.21115729
Tunisia,TUN,2019,0.24340783
Turkey,TUR,2019,0.21899861
Turkmenistan,TKM,2019,0.18937284
Turks and Caicos Islands,TCA,2019,0.36847112
Uganda,UGA,2019,0.15746711
Ukraine,UKR,2019,0.2318735
United Arab Emirates,ARE,2019,0.16503766
United Kingdom,GBR,2019,0.16690777
United States,USA,2019,0.19792305
Upper-middle-income countries,,2019,0.24474703
Uruguay,URY,2019,0.095616385
Uzbekistan,UZB,1995,0.20193936
Uzbekistan,UZB,2019,0.22220023
Vanuatu,VUT,2019,0.16863497
Venezuela,VEN,2019,0.1535357
Vietnam,VNM,2019,0.28289664
World,OWID_WRL,2019,0.22725782
Yemen,YEM,2019,0.27216172
Zambia,ZMB,2019,0.12764296
Zimbabwe,ZWE,2019,0.22487062
